index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,진월,,자` 잠깐만요!,,left,,stage2_bgm,forest2,
2,foxName,fox_normal,뭔데?,,right,,stage2_bgm,forest2,
3,진월,,여기 흔적이…,,,,stage2_bgm,forest2,
4,내레이션,forest2`tree,부러진 나무 몽둥이가 있다.,,,,stage2_bgm,forest2,나무로 되니 제사도구 아이템(전체화면X)
5,내레이션,,퇴마 및 제사용 도구처럼 보였다.,,,,stage2_bgm,forest2,
6,foxName,fox_normal,무환자나무로군. 귀신을 쫓는 나무.,,right,,stage2_bgm,forest2,
7,진월,,예… 저희 사냥꾼들이 호신용으로 가지고 다니는 물건이에요.,,left,,stage2_bgm,forest2,
8,foxName,fox_normal,도움은 되지 못했네.,,right,,stage2_bgm,forest2,
9,foxName,fox_normal,당연하겠지만.,,right,,stage2_bgm,forest2,
10,foxName,fox_normal,그깟 나무 하나로 요괴를 막을 수 있다면.,,right,,stage2_bgm,forest2,
11,foxName,fox_normal,이런 고생을 할 이유가 없지.,,right,,stage2_bgm,forest2,
12,진월,,...,,left,,stage2_bgm,forest2,
13,foxName,fox_normal,알고 있지?,,right,,stage2_bgm,forest2,
14,진월,,예…,,left,,stage2_bgm,forest2,
15,foxName,fox_normal,뭐` 말은 그렇게 했다만.,,right,,stage2_bgm,forest2,
16,foxName,fox_normal,사냥꾼이란 것들은 질기고 독하니.,,right,,stage2_bgm,forest2,
17,foxName,fox_normal,그리 걱정 마.,,right,,stage2_bgm,forest2,
18,내레이션,,의외의 foxName의 격려를 들은 나는 생각했다.,,,,stage2_bgm,forest2,
19,내레이션,,그래! 선배들이 어떤 사람인데!,,,,stage2_bgm,forest2,
20,내레이션,,난 힘을 다해 나아갔다.,,,,stage2_bgm,forest2,
