index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,진월,,헉헉! 이게 뭔가요?,,left,,stage2_bgm,forest2,
2,진월,,이건 대체? 도술?,,left,,stage2_bgm,forest2,
3,내레이션,,믿을 수가 없다.,,,,stage2_bgm,forest2,
4,내레이션,,본디 이런 도술을 쓸 수 있는 건 하나뿐.,,,,stage2_bgm,forest2,
5,내레이션,,바로` 요괴다.,,,,stage2_bgm,forest2,
6,내레이션,,근데 내가 사람이라면... 난 뭐인 거지? 그녀는 알까?,,,,stage2_bgm,forest2,
7,foxName,fox_normal,왜 사냥꾼들이 널 데려왔는지 알겠어.,,right,,stage2_bgm,forest2,
8,foxName,fox_normal,그 모지리 녀석.,,right,,stage2_bgm,forest2,
9,foxName,fox_normal,설마 퇴마사의 씨앗이 남아있을 줄은.,,right,,stage2_bgm,forest2,
10,진월,,퇴`퇴마사요? 그게 뭐죠?,,left,,stage2_bgm,forest2,
11,내레이션,,그녀는 순간 고민했지만.,,,,stage2_bgm,forest2,
12,내레이션,,결국 입을 열었다.,,,,stage2_bgm,forest2,
13,foxName,fox_normal,인간은 도술을 쓸 수 없어. 영기를 다룰 수 없으니까.,,right,,stage2_bgm,forest2,
14,진월,,그렇다면 저는…,,right,,stage2_bgm,forest2,
15,foxName,fox_normal,하지만 예외는 존재하지.,,right,,stage2_bgm,forest2,
16,foxName,fox_normal,그게 너인 거고.,,right,,stage2_bgm,forest2,
17,진월,,예?,,left,,stage2_bgm,forest2,
18,foxName,fox_normal,도술` 그러니까 영기의 힘을 다룰 수 있는 인간.,,right,,stage2_bgm,forest2,
19,foxName,fox_normal,그게 퇴마사야.,,right,,stage2_bgm,forest2,
20,foxName,fox_normal,네 선대들도 분명 퇴마사였을 거고.,,right,,stage2_bgm,forest2,
21,진월,,그` 그럴리가요!,,left,,stage2_bgm,forest2,
22,진월,,그럼 제가 모를 리가 없잖아요!,,left,,stage2_bgm,forest2,
23,진월,,저흰 할아버지 때부터 대대로 요괴 사냥꾼이었다고요!,,left,,stage2_bgm,forest2,
24,foxName,fox_normal,그럼 네 윗 세대가 숨겼겠지.,,right,,stage2_bgm,forest2,
25,foxName,fox_normal,그 일이 있고부터… 퇴마사들도 모두 당해버렸을 테니까.,,right,,stage2_bgm,forest2,
26,진월,,예…?,,left,,stage2_bgm,forest2,
27,foxName,fox_normal,어쨌든 넌 지금 내게 도움이 된단 소리야.,,right,,stage2_bgm,forest2,
28,foxName,fox_normal,내 요도는 영기를 머금을수록 강해져.,,right,,stage2_bgm,forest2,
29,foxName,fox_normal,하지만 난 다른 요괴 달리 다른 요괴의 영기를 멋대로 흡수할 수 없어.,,right,,stage2_bgm,forest2,
30,foxName,fox_normal,퇴마사를 통해서만 가능하지.,,right,,stage2_bgm,forest2,
31,foxName,fox_normal,퇴마사의 혼령이 머금은 정화된 영기는 내가 흡수할 수 있으니까.,,right,,stage2_bgm,forest2,
32,진월,,그` 그럼 저도 이제 구미호님을 도울 수 있는 건가요?,,left,,stage2_bgm,forest2,
33,진월,,어쩌면 곤경에 처할지 모를 선배님들을 도울 수도!,,left,,stage2_bgm,forest2,
34,foxName,fox_normal,그러지 않는 게 좋을 거야.,,right,,stage2_bgm,forest2,
35,진월,,어` 어째서요?,,left,,stage2_bgm,forest2,
36,foxName,fox_normal,퇴마사들을 모두 죽인 건` 그 놈들이니까.,,right,,stage2_bgm,forest2,
37,foxName,fox_normal,분명 네가 가진 능력을 본다면 너도 죽일 거야.,,right,,stage2_bgm,forest2,
38,진월,,예? 그게 무슨…,,left,,stage2_bgm,forest2,
39,foxName,fox_normal,물론 난 거기에 없었지만.,,right,,stage2_bgm,forest2,
40,foxName,fox_normal,적어도 소식은 들을 수 있었지.,,right,,stage2_bgm,forest2,
41,foxName,fox_normal,뭐` 그런 옛날 일 따위 이제 의미 없지만.,,right,,stage2_bgm,forest2,
42,내레이션,,난 뭔가 더 묻고 싶었지만.,,,,stage2_bgm,forest2,
43,내레이션,,그녀는 거기에 대해 아무 말도 하지 않았다.,,,,stage2_bgm,forest2,
44,내레이션,,꼭` 다시는 듣기 싫은 이야기라는 듯이.,,,,stage2_bgm,forest2,
